,Unnamed: 0,newId,id,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,result,main_id,main_seed,main_entry,main_name,main_hand,main_ht,main_ioc,main_age,opp_id,opp_seed,opp_entry,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,roundNum,minutes,main_ace,main_df,main_svpt,main_1stIn,main_1stWon,main_2ndWon,main_ptsWonSrv,main_ptsWonRei,main_SvGms,main_bpSaved,main_bpFaced,main_1stInPct,main_dfPct,main_1stWonPct,main_2ndWonPct,main_1stOppPct,main_2ndOppPct,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_ptsWonSrv,opp_ptsWonRei,opp_SvGms,opp_bpSaved,opp_bpFaced,opp_1stWonPct,opp_2ndWonPct,opp_1stOppPct,opp_2ndOppPct,main_rank,main_rank_points,opp_rank,opp_rank_points,rank_diff,sample,pct1stSrv,pct1stSrvWon,pct2ndSrvWon,pctOpp1stSrvWon,pctOpp2ndSrvWon,AcesPerSrv,DFPerSrv,BPSaved,BPCon,AvgOppRank,AvgOppRankPts,accuracy,mAvgRank,check
702,658,2023-2899291R16L,2023-2899291R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,291.0,L,208230.0,,Q,Alibek Kachmazov,R,,RUS,21.2,105676.0,4.0,,David Goffin,R,180.0,BEL,32.9,7-5 7-5,3.0,R16,5,116.0,6.0,5.0,87.0,44.0,27.0,19.0,46.0,21.0,12.0,9.0,14.0,0.505747126,,0.613636364,0.441860465,0.322580645,0.323529412,5.0,2.0,65.0,31.0,21.0,23.0,44.0,41.0,12.0,2.0,5.0,0.677419355,0.676470588,0.386363636,0.558139535,264.0,221.0,105.0,594.0,159.0,92.0,0.594258695,0.732604539,0.493767736,0.327966603,0.519167332,,,,,188.6415188,491.4223006,,275.0369346,Alibek KachmazovDavid GoffinR168765
703,659,2023-2899291R16W,2023-2899291R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,291.0,W,105676.0,4.0,,David Goffin,R,180.0,BEL,32.9,208230.0,,Q,Alibek Kachmazov,R,,RUS,21.2,7-5 7-5,3.0,R16,5,116.0,5.0,2.0,65.0,31.0,21.0,23.0,44.0,41.0,12.0,2.0,5.0,0.476923077,,0.677419355,0.676470588,0.386363636,0.558139535,6.0,5.0,87.0,44.0,27.0,19.0,46.0,21.0,12.0,9.0,14.0,0.613636364,0.441860465,0.322580645,0.323529412,105.0,594.0,264.0,221.0,-159.0,49.0,0.536155071,0.727426909,0.493795161,0.309776511,0.490301991,,,,,275.0369346,291.8161104,,188.6415188,David GoffinAlibek KachmazovR166587
704,660,2023-2899292R16L,2023-2899292R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,292.0,L,209098.0,5.0,,Hamad Medjedovic,R,185.0,SRB,20.3,210150.0,,,Jakub Mensik,U,,CZE,18.1,4-6 7-6(2) 7-6(8),3.0,R16,5,188.0,8.0,4.0,114.0,73.0,58.0,19.0,77.0,47.0,17.0,4.0,7.0,0.640350877,,0.794520548,0.463414634,0.24,0.491525424,10.0,7.0,134.0,75.0,57.0,30.0,87.0,37.0,17.0,9.0,13.0,0.76,0.508474576,0.205479452,0.536585366,110.0,575.0,152.0,408.0,-42.0,41.0,0.566017517,0.730130314,0.467596297,0.305609151,0.488665432,,,,,305.5763661,462.4144274,,144.1277448,Hamad MedjedovicJakub MensikR16114134
705,661,2023-2899292R16W,2023-2899292R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,292.0,W,210150.0,,,Jakub Mensik,U,,CZE,18.1,209098.0,5.0,,Hamad Medjedovic,R,185.0,SRB,20.3,4-6 7-6(2) 7-6(8),3.0,R16,5,188.0,10.0,7.0,134.0,75.0,57.0,30.0,87.0,37.0,17.0,9.0,13.0,0.559701493,,0.76,0.508474576,0.205479452,0.536585366,8.0,4.0,114.0,73.0,58.0,19.0,77.0,47.0,17.0,4.0,7.0,0.794520548,0.463414634,0.24,0.491525424,152.0,408.0,110.0,575.0,42.0,54.0,0.659575297,0.728059363,0.53820068,0.271956326,0.494724339,,,,,144.1277448,639.537182,,305.5763661,Jakub MensikHamad MedjedovicR16134114
706,662,2023-2899293R16L,2023-2899293R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,293.0,L,144895.0,,,Corentin Moutet,L,178.0,FRA,24.5,210696.0,,Q,Alexander Blockx,U,,BEL,18.5,7-6(6) 6-1,3.0,R16,5,101.0,1.0,2.0,64.0,50.0,29.0,6.0,35.0,26.0,9.0,4.0,7.0,0.78125,,0.58,0.428571429,0.255319149,0.56,2.0,2.0,72.0,47.0,35.0,11.0,46.0,29.0,10.0,3.0,4.0,0.744680851,0.44,0.42,0.571428571,133.0,477.0,412.0,111.0,-279.0,8.0,0.638232156,0.712943666,0.502266007,0.331109003,0.537316497,,,,,311.8507901,298.2701957,,162.6314721,Corentin MoutetAlexander BlockxR166472
707,663,2023-2899293R16W,2023-2899293R16,2023-2899,Danderyd CH,Hard,,,2023-11-13,293.0,W,210696.0,,Q,Alexander Blockx,U,,BEL,18.5,144895.0,,,Corentin Moutet,L,178.0,FRA,24.5,7-6(6) 6-1,3.0,R16,5,101.0,2.0,2.0,72.0,47.0,35.0,11.0,46.0,29.0,10.0,3.0,4.0,0.652777778,,0.744680851,0.44,0.42,0.571428571,1.0,2.0,64.0,50.0,29.0,6.0,35.0,26.0,9.0,4.0,7.0,0.58,0.428571429,0.255319149,0.56,412.0,111.0,133.0,477.0,279.0,64.0,0.66331929,0.63801849,0.51311086,0.319864734,0.535235394,,,,,162.6314721,564.0933619,,311.8507901,Alexander BlockxCorentin MoutetR167264
708,664,2023-7235286R16L,2023-7235286R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,286.0,L,111515.0,,,Thai Son Kwiatkowski,R,188.0,USA,28.7,105902.0,2.0,,James Duckworth,R,183.0,AUS,31.8,6-1 6-7(3) 6-3,3.0,R16,5,123.0,20.0,5.0,94.0,54.0,42.0,17.0,59.0,25.0,13.0,6.0,9.0,0.574468085,,0.777777778,0.425,0.132075472,0.45,12.0,1.0,93.0,53.0,46.0,22.0,68.0,35.0,15.0,5.0,5.0,0.867924528,0.55,0.222222222,0.575,334.0,153.0,113.0,553.0,221.0,125.0,0.595005265,0.753947832,0.574996953,0.304423592,0.528917569,,,,,313.5582975,285.8352355,,378.550008,Thai Son KwiatkowskiJames DuckworthR169493
709,665,2023-7235286R16W,2023-7235286R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,286.0,W,105902.0,2.0,,James Duckworth,R,183.0,AUS,31.8,111515.0,,,Thai Son Kwiatkowski,R,188.0,USA,28.7,6-1 6-7(3) 6-3,3.0,R16,5,123.0,12.0,1.0,93.0,53.0,46.0,22.0,68.0,35.0,15.0,5.0,5.0,0.569892473,,0.867924528,0.55,0.222222222,0.575,20.0,5.0,94.0,54.0,42.0,17.0,59.0,25.0,13.0,6.0,9.0,0.777777778,0.425,0.132075472,0.45,113.0,553.0,334.0,153.0,-221.0,75.0,0.576286134,0.762995517,0.501383325,0.311410515,0.51290397,,,,,378.550008,189.3663685,,313.5582975,James DuckworthThai Son KwiatkowskiR169394
710,666,2023-7235287R16L,2023-7235287R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,287.0,L,202297.0,,WC,Dan Martin,U,,CAN,24.5,126106.0,5.0,,Ryan Peniston,U,,GBR,28.0,6-2 0-0 RET,3.0,R16,5,34.0,0.0,1.0,23.0,16.0,7.0,5.0,12.0,4.0,4.0,0.0,2.0,0.695652174,,0.4375,0.714285714,0.076923077,0.428571429,3.0,1.0,20.0,13.0,12.0,4.0,16.0,11.0,4.0,0.0,0.0,0.923076923,0.571428571,0.5625,0.285714286,,,182.0,344.0,,70.0,0.581210286,0.706104486,0.533657931,0.350430315,0.559617929,,,,,432.823216,213.9448117,,547.6299001,Dan MartinRyan PenistonR162320
711,667,2023-7235287R16W,2023-7235287R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,287.0,W,126106.0,5.0,,Ryan Peniston,U,,GBR,28.0,202297.0,,WC,Dan Martin,U,,CAN,24.5,6-2 0-0 RET,3.0,R16,5,34.0,3.0,1.0,20.0,13.0,12.0,4.0,16.0,11.0,4.0,0.0,0.0,0.65,,0.923076923,0.571428571,0.5625,0.285714286,0.0,1.0,23.0,16.0,7.0,5.0,12.0,4.0,4.0,0.0,2.0,0.4375,0.714285714,0.076923077,0.428571429,182.0,344.0,,,,11.0,0.620476372,0.65028593,0.395489982,0.192719669,0.539999919,,,,,547.6299001,146.9564012,,432.823216,Ryan PenistonDan MartinR162023
